iso,year,log_gdppc,bottom40_share
ISR,2016,10.51986199451407,15.7
ISR,2017,10.542997159561487,16.1
ISR,2018,10.563465930341833,16.1
ISR,2019,10.579540405100516,16.2
ISR,2020,10.543718568236718,16.4
ISR,2021,10.616149063410235,16.4
ISR,2022,10.658183042926506,16.0
ITA,1977,9.879348379361527,19.3
ITA,1978,9.907672792657602,19.7
ITA,1979,9.962664866980612,19.5
ITA,1980,9.994329896904684,19.9
ITA,1981,10.001536193275344,20.700000000000003
ITA,1982,10.00492270247099,21.700000000000003
ITA,1983,10.016183966698364,21.4
ITA,1984,10.047709600912873,20.5
ITA,1986,10.103161035368542,20.5
ITA,1987,10.134479747242512,18.7
ITA,1989,10.207656856537419,20.2
ITA,1991,10.241057949676414,20.7
ITA,1993,10.239510863295493,18.1
ITA,1995,10.289032939038652,18.3
ITA,1998,10.338258222585209,17.8
ITA,2000,10.39236407133272,18.4
ITA,2002,10.412334643742938,18.700000000000003
ITA,2003,10.407595760382595,18.8
ITA,2004,10.414782300707424,19.200000000000003
ITA,2005,10.41654095710411,19.2
ITA,2006,10.430374973291826,19.3
ITA,2007,10.438808040299792,19.7
ITA,2008,10.420811041774327,19.3
ITA,2009,10.36050294365907,19.1
ITA,2010,10.371256009460247,18.9
ITA,2011,10.374724896986937,18.6
ITA,2012,10.34023860303618,18.6
ITA,2013,10.319893331311004,18.5
ITA,2014,10.319728682843698,18.5
ITA,2015,10.330057804498121,18.0
ITA,2016,10.344245132051489,18.2
ITA,2017,10.362035906529954,18.0
ITA,2018,10.372354339411459,18.299999999999997
ITA,2019,10.379113910254729,18.6
ITA,2020,10.291121252629488,18.4
ITA,2021,10.381822291048463,18.6
ITA,2022,10.430930932943047,19.1
ITA,2023,10.440615759301478,18.9
JAM,1988,8.37487001433641,15.200000000000001
JAM,1990,8.470861982746346,16.4
JAM,1993,8.598469139934071,18.5
JAM,1996,8.604323341558661,17.0
JAM,1999,8.554102735193771,15.3
JAM,2002,8.576570275281398,13.2
JAM,2004,8.61381185135065,14.5
JAM,2018,8.651352723657938,19.0
JAM,2021,8.63185202428082,16.0
JOR,1986,8.457177535177271,18.5
JOR,1992,8.178846214202164,15.7
JOR,1997,8.183690193481418,19.0
JOR,2002,8.288887309809377,18.5
JOR,2006,8.433065454961849,20.2
JOR,2008,8.497476790473112,20.8
JOR,2010,8.530404970293183,20.299999999999997
JPN,2008,10.43436846328704,18.7
JPN,2009,10.373299251032167,19.6
JPN,2010,10.413651574637631,20.4
JPN,2011,10.41349825111993,19.5
JPN,2012,10.43145023015675,19.9
JPN,2013,10.452668875283202,20.299999999999997
JPN,2014,10.463014184373353,20.7
JPN,2015,10.481915130021003,20.9
JPN,2016,10.489451635006422,20.2
JPN,2017,10.506374513703035,20.2
JPN,2018,10.515950155308118,19.6
JPN,2019,10.514265067548665,19.6
JPN,2020,10.473429829569152,19.8
KAZ,1993,8.34833141258714,19.8
KAZ,1996,8.18405872183327,18.4
KAZ,2001,8.481053681107872,18.1
KAZ,2002,8.569348929876957,19.0
KAZ,2003,8.652498608213037,19.4
KAZ,2004,8.737660267160361,20.7
KAZ,2005,8.822824933568548,16.200000000000003
KAZ,2006,8.91602258117973,22.0
KAZ,2007,8.99179572921663,21.9
KAZ,2008,9.013902261750278,22.9
KAZ,2009,9.014130715501834,22.8
KAZ,2010,9.071619141679536,23.0
KAZ,2011,9.129488401414495,22.9
KAZ,2012,9.162400897365673,22.700000000000003
KAZ,2013,9.20630482703776,23.4
KAZ,2014,9.232758209369432,23.6
KAZ,2015,9.22976279225756,23.7
KAZ,2016,9.225369202550446,23.4
KAZ,2017,9.249971757006811,23.4
KAZ,2018,9.275211214279073,23.3
KAZ,2019,9.304712300109017,23.200000000000003
KAZ,2020,9.265305335782502,23.0
KAZ,2021,9.294073939503082,22.9
KEN,1992,7.135638545059951,10.2
KEN,1994,7.106429164142582,15.2
KEN,1997,7.1116715011292895,15.0
KEN,2005,7.1094278780513624,14.1
KEN,2015,7.305940350326721,16.5
KEN,2020,7.383575795278356,18.7
KEN,2021,7.4377337794223415,18.2
KEN,2022,7.465959778972922,18.0
KGZ,1998,6.514798980701419,13.3
KGZ,2000,6.576946937537752,21.299999999999997
KGZ,2001,6.619304617323415,21.6
KGZ,2002,6.609946101559569,21.5
KGZ,2003,6.667402589947659,22.6
KGZ,2004,6.723209775784868,19.3
KGZ,2005,6.710169233736901,20.700000000000003
KGZ,2006,6.729988963282616,18.2
KGZ,2007,6.802425834949683,19.6
KGZ,2008,6.8735881449924054,21.0
KGZ,2009,6.8887976173607335,22.1
KGZ,2010,6.8698091346426935,22.0
KGZ,2011,6.913223479268187,23.2
KGZ,2012,6.893501460859957,23.5
KGZ,2013,6.975212079410454,22.6
KGZ,2014,6.992631341580301,23.8
