iso,year,log_gdppc,gini
CYP,2015,10.047086891698926,34.0
CYP,2016,10.105528996658267,32.9
CYP,2017,10.152922057315555,31.4
CYP,2018,10.202198306568011,32.7
CYP,2019,10.245911559480287,31.2
CYP,2020,10.199720655804496,31.7
CYP,2021,10.292723632616772,31.3
CYP,2022,10.357908237719556,31.5
CYP,2023,10.374179055494048,31.8
CZE,1992,9.25717547070601,20.7
CZE,1993,9.256754851177128,26.6
CZE,1996,9.388044379902533,25.8
CZE,2002,9.486454883114803,26.6
CZE,2004,9.56518798732511,27.5
CZE,2005,9.625605399742563,26.9
CZE,2006,9.687028128231754,26.7
CZE,2007,9.734627552346243,26.0
CZE,2008,9.7521207377691,26.3
CZE,2009,9.697250802198612,26.2
CZE,2010,9.721121901720869,26.6
CZE,2011,9.73662299844166,26.4
CZE,2012,9.727487210043492,26.1
CZE,2013,9.72673729898426,26.5
CZE,2014,9.74788830654419,25.9
CZE,2015,9.794319729778335,25.9
CZE,2016,9.817880524099502,25.4
CZE,2017,9.86566589978201,24.9
CZE,2018,9.890231555051948,25.0
CZE,2019,9.921330413792809,25.3
CZE,2020,9.864390473398958,26.2
CZE,2021,9.922008884046004,26.2
CZE,2022,9.934373078708143,25.9
CZE,2023,9.917024878154018,25.7
DEU,1991,10.343566428172002,29.3
DEU,1992,10.355899041892014,29.0
DEU,1993,10.339547149873038,28.4
DEU,1994,10.361715683436984,29.1
DEU,1995,10.373714450697191,28.7
DEU,1996,10.381144967876951,28.3
DEU,1997,10.398055229569003,28.2
DEU,1998,10.418643356899596,28.1
DEU,1999,10.439069127989208,29.0
DEU,2000,10.46607409047185,28.7
DEU,2001,10.480620848221173,29.9
DEU,2002,10.476654398864689,29.9
DEU,2003,10.470788667642328,29.9
DEU,2004,10.482559629672282,30.1
DEU,2005,10.491943290911498,31.6
DEU,2006,10.53100925685123,31.0
DEU,2007,10.56082813498111,31.2
DEU,2008,10.571569399997207,30.6
DEU,2009,10.517061295036783,30.4
DEU,2010,10.559107749483772,30.2
DEU,2011,10.614535674088017,30.4
DEU,2012,10.617282807358228,30.9
DEU,2013,10.618515901568854,31.4
DEU,2014,10.635914726419337,30.8
DEU,2015,10.643750994955075,31.4
DEU,2016,10.657657715704788,31.3
DEU,2017,10.681515274290929,31.3
DEU,2018,10.689802961609656,31.9
DEU,2019,10.697277620874173,32.2
DEU,2020,10.65426364114353,32.5
DEU,2021,10.692195323889663,33.6
DEU,2022,10.710345747831287,33.7
DNK,1987,10.555723335488533,26.2
DNK,1992,10.60775351046787,24.7
DNK,1995,10.676566573281972,23.0
DNK,2000,10.805009526732166,23.8
DNK,2003,10.813922993772907,25.6
DNK,2004,10.83872377073826,24.9
DNK,2005,10.859290957187323,25.2
DNK,2006,10.893459118759536,25.9
DNK,2007,10.898847789083996,26.2
DNK,2008,10.888791802611369,25.2
DNK,2009,10.832416323033874,26.7
DNK,2010,10.843679350166735,27.2
DNK,2011,10.852584842339224,27.3
DNK,2012,10.848767795421312,27.8
DNK,2013,10.858429430246288,28.5
DNK,2014,10.866057920734086,28.4
DNK,2015,10.879819458138824,28.2
DNK,2016,10.9022832621249,28.2
DNK,2017,10.925956727766048,28.7
DNK,2018,10.939427547508824,28.2
DNK,2019,10.952815452764716,27.7
DNK,2020,10.93193763621599,27.5
DNK,2021,10.990580679753318,28.3
DNK,2022,10.987134160931975,29.3
DNK,2023,10.985749980450018,29.9
DOM,1986,7.907495327147015,47.8
DOM,1989,8.004726805602205,50.4
DOM,1992,8.002896986243554,51.1
DOM,1996,8.137251376347463,47.4
DOM,1997,8.205084043170112,48.9
DOM,2000,8.324361976722292,51.5
DOM,2001,8.333026165468969,50.0
DOM,2002,8.36189561307953,49.7
DOM,2003,8.333911220254402,52.1
DOM,2004,8.345695352172381,52.1
DOM,2005,8.422717568691741,50.0
DOM,2006,8.497952706400847,52.0
DOM,2007,8.557333675012996,48.9
DOM,2008,8.577144956264481,48.1
DOM,2009,8.574452067694693,48.9
DOM,2010,8.642319216205266,47.3
DOM,2011,8.661046584483083,47.7
DOM,2012,8.675955893763161,46.1
DOM,2013,8.711942864856029,47.7
DOM,2014,8.76877306832018,44.3
DOM,2015,8.824818042218277,45.2
DOM,2016,8.87874176696129,45.7
DOM,2017,8.906447583754677,42.2
DOM,2018,8.964274338056054,43.7
DOM,2019,9.00172162213943,41.9
DOM,2020,8.908677478547647,39.6
DOM,2021,9.029406464326538,38.5
DOM,2022,9.070864019724837,37.0
DOM,2023,9.083638559314252,38.4
DOM,2024,9.123523978409294,39.0
ECU,1987,8.238991974700127,50.5
ECU,1994,8.315649839551714,53.3
ECU,1995,8.318909885814428,50.8
ECU,1998,8.355154966713103,49.6
ECU,1999,8.288834297845295,58.6
ECU,2000,8.282330942924474,56.3
ECU,2003,8.347640876056564,53.5
ECU,2004,8.396208401073688,53.9
ECU,2005,8.431488994320295,53.1
ECU,2006,8.456801913123694,52.3
ECU,2007,8.458568582904595,53.4
ECU,2008,8.505100802337594,49.8
ECU,2009,8.498894143856889,48.5
ECU,2010,8.521624109159822,48.8
ECU,2011,8.586617988892254,45.9
ECU,2012,8.626918292108286,46.1
ECU,2013,8.681575078092347,46.9
ECU,2014,8.708646547394471,45.0
ECU,2015,8.695533446764424,46.0
ECU,2016,8.674049216381379,45.0
ECU,2017,8.716744220594295,44.7
ECU,2018,8.709975776667743,45.4
ECU,2019,8.694734906925728,45.7
ECU,2020,8.585914703255183,47.3
ECU,2021,8.66821236299871,45.8
ECU,2022,8.717271976290036,45.5
ECU,2023,8.726709881444197,44.6
ECU,2024,8.69847203437044,45.2
ECU,2025,8.726575513672413,45.9
EGY,1990,7.586873458191159,32.0
EGY,1995,7.6376392785571525,30.1
EGY,1999,7.767206523053944,30.8
EGY,2004,7.853380872645033,31.8
EGY,2008,8.02362217321319,31.1
EGY,2010,8.081427176435344,30.2
EGY,2012,8.077444647624214,28.3
EGY,2015,8.103791147239486,31.8
EGY,2017,8.146972520522551,31.5
EGY,2019,8.216424429768118,31.9
EGY,2021,8.252529465257624,28.5
ESP,1980,9.608203773692113,34.5
ESP,1985,9.65168986735926,34.4
ESP,1990,9.861350674786204,32.0
ESP,1993,9.872744446053932,35.7
ESP,1994,9.891535846026347,35.1
ESP,1995,9.914323787594775,35.7
ESP,1996,9.93589860738898,36.5
ESP,1997,9.966951958998637,35.3
ESP,1998,10.004933619310549,34.6
ESP,1999,10.044024793043178,33.8
ESP,2000,10.090252632779737,34.1
ESP,2003,10.145694845257607,31.8
ESP,2004,10.159110322815067,33.3
ESP,2005,10.177113069806827,32.4
ESP,2006,10.199847815939053,33.5
ESP,2007,10.216062049970796,34.1
ESP,2008,10.207751124941538,34.2
ESP,2009,10.160484139040701,34.9
ESP,2010,10.156820836433829,35.2
ESP,2011,10.146847683412647,35.7
ESP,2012,10.11712883089339,35.4
ESP,2013,10.106369454011844,36.2
ESP,2014,10.124542975250144,36.1
ESP,2015,10.165176266554539,36.2
ESP,2016,10.193139342327708,35.8
ESP,2017,10.219256993809829,34.7
ESP,2018,10.238412970115375,34.7
ESP,2019,10.250667944350491,34.3
ESP,2020,10.129707163242017,34.9
ESP,2021,10.192619682417382,33.9
ESP,2022,10.247187511200723,33.6
ESP,2023,10.259714515507623,33.4
EST,1993,8.81084146234178,39.4
EST,1995,8.877792874291018,30.1
EST,1998,9.126951734890294,37.6
EST,2000,9.21101710574961,35.8
EST,2001,9.274529973063835,36.0
EST,2002,9.347896602878398,35.8
EST,2003,9.427388918715423,37.2
EST,2004,9.499161429013615,33.6
EST,2005,9.59584886294519,33.4
EST,2006,9.69489482293567,33.7
EST,2007,9.772436862056837,31.2
EST,2008,9.722504965252952,31.9
EST,2009,9.566254604254663,31.4
EST,2010,9.592737434433703,32.0
EST,2011,9.669088541910629,32.5
EST,2012,9.70873004978842,32.9
EST,2013,9.729701425205867,35.1
EST,2014,9.765011771172404,34.6
EST,2015,9.782570874036644,32.7
EST,2016,9.81274124557614,31.2
EST,2017,9.866347008624501,30.4
EST,2018,9.899195630013553,30.3
EST,2019,9.932068968224876,30.8
EST,2020,9.90083131269748,30.7
EST,2021,9.979089607962248,31.8
EST,2022,9.95338660136682,32.3
EST,2023,9.90978632598162,30.7
ETH,1995,5.447730200346377,44.6
ETH,1999,5.48315538475389,30.0
ETH,2004,5.5907015419850365,29.8
ETH,2010,6.04476505384559,33.2
ETH,2015,6.39344377528803,35.0
ETH,2021,6.672864270197742,31.1
FIN,1987,10.254582701150582,22.2
FIN,1991,10.285034808846994,22.9
FIN,1995,10.305296797077705,23.5
FIN,2000,10.54198322818293,27.2
FIN,2003,10.597608857738258,27.7
FIN,2004,10.633977792119145,27.9
FIN,2005,10.657949721074669,27.6
FIN,2006,10.693520849629339,28.0
FIN,2007,10.741031351305585,28.3
FIN,2008,10.744189564154127,27.8
FIN,2009,10.65519872389004,27.5
FIN,2010,10.681815110699374,27.7
FIN,2011,10.700802242658,27.6
