iso,year,log_gdppc,life_exp
PRY,1997,8.410948588333017,69.284
PRY,1998,8.389839500473617,69.507
PRY,1999,8.355260127269762,69.774
PRY,2000,8.312500749902892,70.026
PRY,2001,8.28724762845027,70.281
PRY,2002,8.272938413850728,70.539
PRY,2003,8.30293959192202,70.795
PRY,2004,8.331187861372,71.054
PRY,2005,8.341238729247996,71.317
PRY,2006,8.377772943908957,71.584
PRY,2007,8.420766507531372,71.817
PRY,2008,8.474006567482823,72.047
PRY,2009,8.461172288554133,72.282
PRY,2010,8.554691295295894,72.551
PRY,2011,8.583390989661925,72.787
PRY,2012,8.562216737174236,73.105
PRY,2013,8.627503530512824,73.292
PRY,2014,8.66466040603197,73.415
PRY,2015,8.679199436438523,73.454
PRY,2016,8.70648354194201,73.487
PRY,2017,8.739237519828748,73.45
PRY,2018,8.756877459781835,73.627
PRY,2019,8.739302001006266,73.668
PRY,2020,8.717550469205571,72.72
PRY,2021,8.744611567412317,68.108
PRY,2022,8.732983069078593,72.319
PRY,2023,8.772189714210445,73.844
PRY,2024,8.805480015823058,73.982
PSE,1994,7.667340404892725,69.328
PSE,1995,7.691321212707205,69.583
PSE,1996,7.658614644758572,69.982
PSE,1997,7.750703589098815,70.328
PSE,1998,7.8591056363620195,70.564
PSE,1999,7.9131086936374935,70.789
PSE,2000,7.798117586697776,70.298
PSE,2001,7.6748299011088665,69.75
PSE,2002,7.515878429096025,70.88
PSE,2003,7.621491466872472,70.967
PSE,2004,7.7941704088361705,71.094
PSE,2005,7.875592857307842,72.004
PSE,2006,7.84002472093093,71.831
PSE,2007,7.851655084909431,72.064
PSE,2008,7.895803171665555,72.204
PSE,2009,7.951564947228901,72.306
PSE,2010,7.981760966368257,73.302
PSE,2011,8.048183663284643,73.557
PSE,2012,8.08268525371673,73.722
PSE,2013,8.104592042958386,74.14
PSE,2014,8.079571356933426,72.781
PSE,2015,8.093203861526998,74.577
PSE,2016,8.15567770387785,74.917
PSE,2017,8.149884728928209,75.216
PSE,2018,8.136750712182334,75.38
PSE,2019,8.125167751293695,75.811
PSE,2020,7.980183747468846,74.998
PSE,2021,8.023383987032283,73.89
PSE,2022,8.039144777824925,76.662
PSE,2023,8.00544278709866,65.17
PSE,2024,7.722326408656098,69.213
PSS,1970,7.907773977364315,59.7238453421264
PSS,1971,7.948740438600202,60.0905410435044
PSS,1972,7.98206659045449,60.33925414676
PSS,1973,8.067148474463322,60.2171181628336
PSS,1974,8.078133819154443,60.7610584071697
PSS,1975,8.062143138250887,60.9573558684819
PSS,1976,8.051092471287827,61.7153836020704
PSS,1977,8.061938030218244,62.1451428313143
PSS,1978,8.060832405362547,62.6361500980742
PSS,1979,8.120381621810857,62.558034413465
PSS,1980,8.062845452808899,62.7968232016204
PSS,1981,8.069987279799685,62.9126548854131
PSS,1982,8.015157520518933,63.0472054302319
